2026-04-10 13:29:27.497[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.498[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:27.498[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.499[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:27.499[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.499[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:27.500[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.500[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:27.500[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.500[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:27.501[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.501[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:27.502[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.502[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:27.503[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:27.503[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:37.831[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:37.831[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:37.832[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:37.832[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:37.832[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:37.832[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:37.833[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:37.833[cgsdk][ WARN][17804| 6728] BOOL check failed
2026-04-10 13:29:37.833[cgsdk][DEBUG][17804| 6728] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-10 13:29:37.833[cgsdk][ WARN][17804| 6728] BOOL check failed
